millis,stamp,datetime,motion
999,2212621261, 2019/07/30 16:35:0, Inactive
1998,2212621262, 2019/07/30 16:35:1, Inactive
2999,2212621263, 2019/07/30 16:35:2, Inactive
3999,2212621264, 2019/07/30 16:35:3, Inactive
4999,2212621265, 2019/07/30 16:35:4, Inactive
5999,2212621266, 2019/07/30 16:35:5, Inactive
7000,2212621267, 2019/07/30 16:35:6, Inactive
7999,2212621268, 2019/07/30 16:35:7, Inactive
8999,2212621269, 2019/07/30 16:35:8, Inactive
9999,2212621270, 2019/07/30 16:35:9, Inactive
10999,2212621271, 2019/07/30 16:35:10, Inactive
11999,2212621272, 2019/07/30 16:35:11, Inactive
12999,2212621273, 2019/07/30 16:35:12, Inactive
14000,2212621274, 2019/07/30 16:35:13, Inactive
14999,2212621275, 2019/07/30 16:35:14, Inactive
16000,2212621276, 2019/07/30 16:35:15, Inactive
16999,2212621277, 2019/07/30 16:35:16, Inactive
17999,2212621278, 2019/07/30 16:35:17, Inactive
18999,2212621279, 2019/07/30 16:35:18, Inactive
19999,2212621280, 2019/07/30 16:35:19, Inactive
20999,2212621281, 2019/07/30 16:35:20, Inactive
21999,2212621282, 2019/07/30 16:35:21, Inactive
22999,2212621283, 2019/07/30 16:35:22, Inactive
23998,2212621284, 2019/07/30 16:35:23, Active
24999,2212621285, 2019/07/30 16:35:24, Active
25999,2212621286, 2019/07/30 16:35:25, Active
26999,2212621287, 2019/07/30 16:35:26, Active
28000,2212621288, 2019/07/30 16:35:27, Active
28999,2212621289, 2019/07/30 16:35:28, Active
29999,2212621290, 2019/07/30 16:35:29, Active
30999,2212621291, 2019/07/30 16:35:30, Active
32000,2212621292, 2019/07/30 16:35:31, Active
32999,2212621293, 2019/07/30 16:35:32, Inactive
33999,2212621294, 2019/07/30 16:35:33, Inactive
34999,2212621295, 2019/07/30 16:35:34, Active
35999,2212621296, 2019/07/30 16:35:35, Active
36999,2212621297, 2019/07/30 16:35:36, Active
37999,2212621298, 2019/07/30 16:35:37, Active
39000,2212621299, 2019/07/30 16:35:38, Active
39999,2212621300, 2019/07/30 16:35:39, Active
40999,2212621301, 2019/07/30 16:35:40, Active
41998,2212621302, 2019/07/30 16:35:41, Active
42999,2212621303, 2019/07/30 16:35:42, Active
43999,2212621304, 2019/07/30 16:35:43, Active
44999,2212621305, 2019/07/30 16:35:44, Inactive
46000,2212621306, 2019/07/30 16:35:45, Inactive
46999,2212621307, 2019/07/30 16:35:46, Inactive
48000,2212621308, 2019/07/30 16:35:47, Inactive
48999,2212621309, 2019/07/30 16:35:48, Inactive
49999,2212621310, 2019/07/30 16:35:49, Active
50999,2212621311, 2019/07/30 16:35:50, Active
51999,2212621312, 2019/07/30 16:35:51, Active
53000,2212621313, 2019/07/30 16:35:52, Active
53998,2212621314, 2019/07/30 16:35:53, Active
55000,2212621315, 2019/07/30 16:35:54, Active
55999,2212621316, 2019/07/30 16:35:55, Active
56999,2212621317, 2019/07/30 16:35:56, Active
57999,2212621318, 2019/07/30 16:35:57, Active
58999,2212621319, 2019/07/30 16:35:58, Active
59999,2212621320, 2019/07/30 16:35:59, Active
60998,2212621321, 2019/07/30 16:36:0, Active
62000,2212621322, 2019/07/30 16:36:1, Active
62999,2212621323, 2019/07/30 16:36:2, Active
64000,2212621324, 2019/07/30 16:36:3, Active
64999,2212621325, 2019/07/30 16:36:4, Active
65999,2212621326, 2019/07/30 16:36:5, Active
66999,2212621327, 2019/07/30 16:36:6, Active
67999,2212621328, 2019/07/30 16:36:7, Active
69000,2212621329, 2019/07/30 16:36:8, Active
69999,2212621330, 2019/07/30 16:36:9, Active
71000,2212621331, 2019/07/30 16:36:10, Active
71999,2212621332, 2019/07/30 16:36:11, Active
72999,2212621333, 2019/07/30 16:36:12, Active
73999,2212621334, 2019/07/30 16:36:13, Active
74999,2212621335, 2019/07/30 16:36:14, Active
75998,2212621336, 2019/07/30 16:36:15, Active
76999,2212621337, 2019/07/30 16:36:16, Active
78000,2212621338, 2019/07/30 16:36:17, Active
78999,2212621339, 2019/07/30 16:36:18, Active
80000,2212621340, 2019/07/30 16:36:19, Active
80999,2212621341, 2019/07/30 16:36:20, Active
81999,2212621342, 2019/07/30 16:36:21, Active
82999,2212621343, 2019/07/30 16:36:22, Active
83999,2212621344, 2019/07/30 16:36:23, Active
84999,2212621345, 2019/07/30 16:36:24, Active
85999,2212621346, 2019/07/30 16:36:25, Active
87000,2212621347, 2019/07/30 16:36:26, Active
87999,2212621348, 2019/07/30 16:36:27, Active
88999,2212621349, 2019/07/30 16:36:28, Active
89999,2212621350, 2019/07/30 16:36:29, Active
90999,2212621351, 2019/07/30 16:36:30, Active
92000,2212621352, 2019/07/30 16:36:31, Active
92999,2212621353, 2019/07/30 16:36:32, Active
93999,2212621354, 2019/07/30 16:36:33, Active
94999,2212621355, 2019/07/30 16:36:34, Active
96000,2212621356, 2019/07/30 16:36:35, Active
96999,2212621357, 2019/07/30 16:36:36, Active
97999,2212621358, 2019/07/30 16:36:37, Active
98999,2212621359, 2019/07/30 16:36:38, Active
99999,2212621360, 2019/07/30 16:36:39, Inactive
101000,2212621361, 2019/07/30 16:36:40, Inactive
101999,2212621362, 2019/07/30 16:36:41, Inactive
103000,2212621363, 2019/07/30 16:36:42, Inactive
103999,2212621364, 2019/07/30 16:36:43, Inactive
104999,2212621365, 2019/07/30 16:36:44, Inactive
105999,2212621366, 2019/07/30 16:36:45, Inactive
106999,2212621367, 2019/07/30 16:36:46, Inactive
107999,2212621368, 2019/07/30 16:36:47, Inactive
108999,2212621369, 2019/07/30 16:36:48, Inactive
110000,2212621370, 2019/07/30 16:36:49, Inactive
110999,2212621371, 2019/07/30 16:36:50, Inactive
112000,2212621372, 2019/07/30 16:36:51, Inactive
112999,2212621373, 2019/07/30 16:36:52, Inactive
113999,2212621374, 2019/07/30 16:36:53, Inactive
114999,2212621375, 2019/07/30 16:36:54, Inactive
115999,2212621376, 2019/07/30 16:36:55, Inactive
116998,2212621377, 2019/07/30 16:36:56, Inactive
117999,2212621378, 2019/07/30 16:36:57, Inactive
119000,2212621379, 2019/07/30 16:36:58, Inactive
119999,2212621380, 2019/07/30 16:36:59, Inactive
120999,2212621381, 2019/07/30 16:37:0, Inactive
121999,2212621382, 2019/07/30 16:37:1, Inactive
122999,2212621383, 2019/07/30 16:37:2, Inactive
124000,2212621384, 2019/07/30 16:37:3, Inactive
124999,2212621385, 2019/07/30 16:37:4, Inactive
125999,2212621386, 2019/07/30 16:37:5, Inactive
126999,2212621387, 2019/07/30 16:37:6, Inactive
128000,2212621388, 2019/07/30 16:37:7, Inactive
128999,2212621389, 2019/07/30 16:37:8, Inactive
129999,2212621390, 2019/07/30 16:37:9, Inactive
130999,2212621391, 2019/07/30 16:37:10, Inactive
